Unnamed: 0,Error,Épocas,Clase
33,0.2811999917030334,17,"Validation error on d1: 0.2, d2: 0"
34,0.1099500060081482,18,"Train error on d1: 0.2, d2: 0"
35,0.2669000029563904,18,"Validation error on d1: 0.2, d2: 0"
36,0.1051999926567077,19,"Train error on d1: 0.2, d2: 0"
37,0.2771999835968017,19,"Validation error on d1: 0.2, d2: 0"
38,0.0981749892234802,20,"Train error on d1: 0.2, d2: 0"
39,0.2735999822616577,20,"Validation error on d1: 0.2, d2: 0"
40,0.0952749848365783,21,"Train error on d1: 0.2, d2: 0"
41,0.2716000080108642,21,"Validation error on d1: 0.2, d2: 0"
42,0.0935750007629394,22,"Train error on d1: 0.2, d2: 0"
43,0.2581999897956848,22,"Validation error on d1: 0.2, d2: 0"
44,0.0865499973297119,23,"Train error on d1: 0.2, d2: 0"
45,0.2707999944686889,23,"Validation error on d1: 0.2, d2: 0"
46,0.085449993610382,24,"Train error on d1: 0.2, d2: 0"
47,0.2786999940872192,24,"Validation error on d1: 0.2, d2: 0"
48,0.0810999870300293,25,"Train error on d1: 0.2, d2: 0"
49,0.2681999802589416,25,"Validation error on d1: 0.2, d2: 0"
50,0.0762000083923339,26,"Train error on d1: 0.2, d2: 0"
51,0.2735999822616577,26,"Validation error on d1: 0.2, d2: 0"
52,0.0746750235557556,27,"Train error on d1: 0.2, d2: 0"
53,0.2707999944686889,27,"Validation error on d1: 0.2, d2: 0"
54,0.0735999941825866,28,"Train error on d1: 0.2, d2: 0"
55,0.2707999944686889,28,"Validation error on d1: 0.2, d2: 0"
56,0.0708249807357788,29,"Train error on d1: 0.2, d2: 0"
57,0.2732999920845032,29,"Validation error on d1: 0.2, d2: 0"
58,0.0683000087738037,30,"Train error on d1: 0.2, d2: 0"
59,0.2718999981880188,30,"Validation error on d1: 0.2, d2: 0"
0,0.5638499855995178,1,"Train error on d1: 0.2, d2: 0"
1,0.4383999705314636,1,"Validation error on d1: 0.2, d2: 0"
2,0.4033750295639038,2,"Train error on d1: 0.2, d2: 0"
3,0.3666999936103821,2,"Validation error on d1: 0.2, d2: 0"
