Error,Épocas,Clase
0.4,40800, Validation error
0.30000000000000004,40800,Test error
0.3125,41000,Train error
0.44999999999999996,41000, Validation error
0.31999999999999995,41000,Test error
0.3375,41200,Train error
0.4,41200, Validation error
0.30000000000000004,41200,Test error
0.3375,41400,Train error
0.4,41400, Validation error
0.30000000000000004,41400,Test error
0.3125,41600,Train error
0.44999999999999996,41600, Validation error
0.31999999999999995,41600,Test error
0.3375,41800,Train error
0.4,41800, Validation error
0.30000000000000004,41800,Test error
0.3125,42000,Train error
0.44999999999999996,42000, Validation error
0.31999999999999995,42000,Test error
0.3125,42200,Train error
0.44999999999999996,42200, Validation error
0.31999999999999995,42200,Test error
0.3375,42400,Train error
0.4,42400, Validation error
0.30000000000000004,42400,Test error
0.3125,42600,Train error
0.44999999999999996,42600, Validation error
0.31999999999999995,42600,Test error
0.3375,42800,Train error
0.4,42800, Validation error
0.30000000000000004,42800,Test error
0.3375,43000,Train error
0.4,43000, Validation error
0.30000000000000004,43000,Test error
0.3375,43200,Train error
0.4,43200, Validation error
0.30000000000000004,43200,Test error
0.3375,43400,Train error
0.4,43400, Validation error
0.30000000000000004,43400,Test error
0.3125,43600,Train error
0.44999999999999996,43600, Validation error
0.31999999999999995,43600,Test error
0.3125,43800,Train error
0.44999999999999996,43800, Validation error
0.31999999999999995,43800,Test error
0.3125,44000,Train error
0.44999999999999996,44000, Validation error
0.31999999999999995,44000,Test error
0.3375,44200,Train error
0.4,44200, Validation error
0.30000000000000004,44200,Test error
0.3125,44400,Train error
0.44999999999999996,44400, Validation error
0.31999999999999995,44400,Test error
0.3125,44600,Train error
0.44999999999999996,44600, Validation error
0.31999999999999995,44600,Test error
0.3375,44800,Train error
0.4,44800, Validation error
0.30000000000000004,44800,Test error
0.3125,45000,Train error
0.44999999999999996,45000, Validation error
0.31999999999999995,45000,Test error
0.3125,45200,Train error
0.44999999999999996,45200, Validation error
0.31999999999999995,45200,Test error
0.3125,45400,Train error
0.44999999999999996,45400, Validation error
0.31999999999999995,45400,Test error
0.3125,45600,Train error
0.44999999999999996,45600, Validation error
0.31999999999999995,45600,Test error
0.3125,45800,Train error
0.44999999999999996,45800, Validation error
0.31999999999999995,45800,Test error
0.3125,46000,Train error
0.44999999999999996,46000, Validation error
0.31999999999999995,46000,Test error
0.3125,46200,Train error
0.44999999999999996,46200, Validation error
0.31999999999999995,46200,Test error
0.3125,46400,Train error
0.44999999999999996,46400, Validation error
0.31999999999999995,46400,Test error
0.3125,46600,Train error
0.44999999999999996,46600, Validation error
0.31999999999999995,46600,Test error
0.3125,46800,Train error
0.44999999999999996,46800, Validation error
0.31999999999999995,46800,Test error
0.3125,47000,Train error
0.44999999999999996,47000, Validation error
0.31999999999999995,47000,Test error
0.3125,47200,Train error
0.44999999999999996,47200, Validation error
0.31999999999999995,47200,Test error
0.3375,47400,Train error
0.4,47400, Validation error
0.30000000000000004,47400,Test error
0.3375,47600,Train error
0.4,47600, Validation error
0.30000000000000004,47600,Test error
0.3375,47800,Train error
